Player Name,Team,Apts,Errors,Attempts,Avg Per Match,Success %,Total
Spirito Luca,ITA,5,4,8,0.33,29.41,17
Bispo dos Santos Matheus,BRA,5,3,0,1,62.5,8
Gardini Davide,ITA,5,1,8,0.42,35.71,14
Röhrs Erik,GER,5,3,4,0.38,41.67,12
Kovac Davide,SRB,4,3,8,0.27,26.67,15
Videčnik Matic,SLO,4,0,2,0.29,66.67,6
Tuaniga Joshua,USA,4,1,1,0.8,66.67,6
Vadi Mohammad Taher,IRI,3,0,5,0.33,37.5,8
Lisinac Srecko,SRB,3,0,4,3,42.86,7
Jorna Gijs,NED,3,5,13,0.5,14.29,21
Gil Kreling Fernando,BRA,3,1,2,0.18,50,6
Uriarte Nicolas,ARG,3,0,6,0.3,33.33,9
Marshall Steven,CAN,3,6,13,0.23,13.64,22
Keemink Wessel,NED,3,0,7,0.3,30,10
Stankov Vladimir,BUL,3,1,2,0.3,50,6
De Barros Ferreira João Rafael,BRA,3,0,3,0.75,50,6
Fujii Naonobu,JPN,2,0,2,0.22,50,4
Fayazi D. Purya,IRI,2,1,13,0.18,12.5,16
Štalekar Sašo,SLO,2,3,3,0.18,25,8
de Weijer Freek,NED,2,1,4,0.18,28.57,7
Hanes Jake,USA,2,0,1,0.5,66.67,3
Drzyzga Fabian,POL,2,1,4,0.12,28.57,7
Lomacz Grzegorz,POL,2,0,0,0.12,100,2
Todorovic Vuk,SRB,2,0,1,0.15,66.67,3
Sanchez Matias,ARG,2,0,0,0.29,100,2
Toniutti Benjamin,FRA,1,0,2,0.07,33.33,3
Butler Nicholas,AUS,1,0,0,0.07,100,1
Sekita Masahiro,JPN,1,1,5,0.07,14.29,7
Shafiei Ali,IRI,1,3,7,0.17,9.09,11
van Solkema Gijs,NED,1,1,0,0.08,50,2
Walsh Brett James,CAN,1,1,4,0.1,16.67,6
Demyanenko Danny,CAN,1,1,1,0.12,33.33,3
Meyer Léo,FRA,1,0,0,0.33,100,1
Sanders Tyler,CAN,1,0,4,0.12,20,5
Karimisouchelmaei Javad,IRI,1,1,3,0.17,20,5
Douglas-Powell Thomas Ewen,AUS,1,0,0,1,100,1
Komenda Marcin,POL,1,0,0,0.33,100,1
Diez Benjamin,FRA,0,0,0,,,0
Stankov Svetoslav,BUL,0,0,0,,,0
Ivanov Vladislav,BUL,0,0,0,,,0
Ivanov Martin,BUL,0,0,0,,,0
Zenger Julian,GER,0,0,0,,,0
Burggräf Eric,GER,0,0,0,,,0
Perry Luke,AUS,0,0,0,,,0
Flowerday Sam,AUS,0,2,0,0,0,2
Greber Billy,AUS,0,0,0,,,0
Yamamoto Tomohiro,JPN,0,0,0,,,0
Ogawa Tomohiro,JPN,0,0,0,,,0
Hazratpourtalatappeh Mohammadreza,IRI,0,0,0,,,0
Salehi Arman,IRI,0,0,0,,,0
Kapur Milorad,SRB,0,0,0,,,0
